Name,Kinase,Direct binder,CC-401,OTS-167,id,Name_official
ETF1,no,no,,inf,2107,ETF1
ETFB,no,yes,inf,inf,2109,ETFB
EWSR1,no,yes,inf,inf,2130,EWSR1
EXOC4,no,no,inf,inf,60412,EXOC4
FANCI,no,no,inf,inf,55215,FANCI
FARSB,no,yes,inf,inf,10056,FARSB
FDPS,no,no,inf,inf,2224,FDPS
FGFR1,yes,yes,inf,inf,2260,FGFR1
FIBP,no,no,inf,inf,9158,FIBP
FLNB,no,no,,inf,2317,FLNB
FLT3,yes,yes,inf,inf,2322,FLT3
FRK,yes,yes,inf,inf,2444,FRK
GARS,no,yes,inf,inf,2617,GARS
GFPT1,no,no,,inf,2673,GFPT1
GHITM,no,no,inf,inf,27069,GHITM
GLO1,no,no,,inf,2739,GLO1
GRAMD1A,no,no,inf,inf,57655,GRAMD1A
GRB2,no,no,inf,inf,2885,GRB2
GSPT2,no,yes,,inf,23708,GSPT2
GTPBP4,no,yes,inf,inf,23560,GTPBP4
HBG1,no,no,inf,inf,3047,HBG1
HMOX2,no,no,inf,inf,3163,HMOX2
HNRNPH3,no,no,inf,inf,3189,HNRNPH3
HSP90AB2P,no,yes,inf,inf,391634,HSP90AB2P
IARS2,no,yes,,inf,55699,IARS2
ICK,yes,yes,inf,inf,22858,ICK
IGF1R,yes,yes,inf,inf,3480,IGF1R
IGF2BP3,no,no,inf,inf,10643,IGF2BP3
INCENP,no,no,inf,inf,3619,INCENP
INPPL1,no,no,inf,inf,3636,INPPL1
INSR,yes,yes,inf,inf,3643,INSR
IPO7,no,no,inf,inf,10527,IPO7
JAK1,yes,no,inf,inf,3716,JAK1
KIAA0195,no,no,inf,inf,9772,TMEM94
LAGE3,no,no,inf,inf,8270,LAGE3
LASP1,no,no,inf,inf,3927,LASP1
LIMK1,yes,yes,inf,inf,3984,LIMK1
LIMK2,yes,yes,inf,inf,3985,LIMK2
LSM3,no,no,,inf,27258,LSM3
MAP2K2,yes,yes,inf,inf,5605,MAP2K2
MAP2K3,yes,yes,inf,inf,5606,MAP2K3
